전공,입력코드,과목명,구분,전체,2학년,3학년,4학년,1학년
교양학부(중핵),COR1001-04,읽기와쓰기,경쟁률,1 : 0.10,1 : 1.00,1 : 0.50,신청없음,1 : 0.03
교양학부(중핵),COR1001-06,읽기와쓰기,경쟁률,1 : 0.08,신청없음,1 : 0.25,신청없음,1 : 0.05
교양학부(중핵),COR1001-07,읽기와쓰기,경쟁률,1 : 0.05,1 : 0.50,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-08,읽기와쓰기,경쟁률,1 : 0.05,1 : 0.50,1 : 0.33,신청없음,신청없음
교양학부(중핵),COR1001-10,읽기와쓰기,경쟁률,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-11,읽기와쓰기,경쟁률,1 : 0.08,1 : 0.50,1 : 0.33,신청없음,1 : 0.03
교양학부(중핵),COR1001-12,읽기와쓰기,경쟁률,1 : 0.03,신청없음,1 : 0.25,신청없음,신청없음
교양학부(중핵),COR1001-13,읽기와쓰기,경쟁률,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-14,읽기와쓰기,경쟁률,1 : 0.30,1 : 4.50,1 : 1.50,신청없음,신청없음
교양학부(중핵),COR1001-15,읽기와쓰기,경쟁률,1 : 0.03,1 : 0.50,신청없음,신청없음,신청없음
교양학부(중핵),COR1001-16,읽기와쓰기,경쟁률,1 : 0.08,1 : 0.50,1 : 0.67,신청없음,신청없음
교양학부(중핵),COR1001-17,읽기와쓰기,경쟁률,1 : 0.03,신청없음,1 : 0.25,신청없음,신청없음
교양학부(중핵),COR1001-19,읽기와쓰기,경쟁률,1 : 0.03,1 : 0.50,신청없음,신청없음,신청없음
교양학부(중핵),COR1001-20,읽기와쓰기,경쟁률,1 : 0.08,1 : 1.00,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-21,읽기와쓰기,경쟁률,1 : 0.10,1 : 0.50,신청없음,신청없음,1 : 0.08
교양학부(중핵),COR1001-23,읽기와쓰기,경쟁률,1 : 0.08,1 : 1.00,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-24,읽기와쓰기,경쟁률,1 : 0.08,1 : 0.50,신청없음,1 : 0.25,1 : 0.03
교양학부(중핵),COR1001-25,읽기와쓰기,경쟁률,1 : 0.05,1 : 0.50,1 : 0.33,신청없음,신청없음
교양학부(중핵),COR1001-26,읽기와쓰기,경쟁률,1 : 0.03,1 : 0.50,신청없음,신청없음,신청없음
교양학부(중핵),COR1001-27,읽기와쓰기,경쟁률,1 : 0.10,1 : 1.00,1 : 0.50,1 : 0.50,신청없음
교양학부(중핵),COR1001-30,읽기와쓰기,경쟁률,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-31,읽기와쓰기,경쟁률,1 : 0.60,1 : 0.50,1 : 0.50,신청없음,1 : 0.57
교양학부(중핵),COR1001-32,읽기와쓰기,경쟁률,1 : 0.36,신청없음,신청없음,신청없음,1 : 0.36
교양학부(중핵),COR1001-33,읽기와쓰기,경쟁률,1 : 0.04,신청없음,신청없음,신청없음,1 : 0.04
교양학부(중핵),COR1001-34,읽기와쓰기,경쟁률,1 : 0.32,1 : 2.00,1 : 1.00,신청없음,1 : 0.14
교양학부(중핵),COR1003-01,글로벌의사소통I,경쟁률,1 : 0.15,신청없음,1 : 0.50,1 : 0.33,1 : 0.08
교양학부(중핵),COR1003-02,글로벌의사소통I,경쟁률,1 : 0.19,신청없음,1 : 1.00,1 : 0.50,1 : 0.09
교양학부(중핵),COR1003-03,글로벌의사소통I,경쟁률,1 : 0.23,1 : 1.00,신청없음,신청없음,1 : 0.20
교양학부(중핵),COR1003-04,글로벌의사소통I,경쟁률,1 : 0.46,1 : 6.00,1 : 2.00,신청없음,1 : 0.17
교양학부(중핵),COR1003-05,글로벌의사소통I,경쟁률,1 : 0.15,1 : 1.00,1 : 2.00,신청없음,1 : 0.04
교양학부(중핵),COR1003-06,글로벌의사소통I,경쟁률,1 : 0.27,1 : 5.00,신청없음,1 : 0.33,1 : 0.04
교양학부(중핵),COR1003-07,글로벌의사소통I,경쟁률,1 : 0.23,1 : 1.00,1 : 1.00,신청없음,1 : 0.17
교양학부(중핵),COR1003-08,글로벌의사소통I,경쟁률,1 : 0.15,1 : 2.00,1 : 2.00,신청없음,신청없음
교양학부(중핵),COR1003-09,글로벌의사소통I,경쟁률,1 : 0.19,1 : 4.00,신청없음,1 : 0.33,신청없음
교양학부(중핵),COR1003-10,글로벌의사소통I,경쟁률,1 : 0.31,1 : 3.00,1 : 2.00,신청없음,1 : 0.13
교양학부(중핵),COR1003-11,글로벌의사소통I,경쟁률,1 : 0.12,신청없음,1 : 0.50,1 : 0.33,1 : 0.04
교양학부(중핵),COR1003-12,글로벌의사소통I,경쟁률,1 : 0.12,신청없음,1 : 0.50,신청없음,1 : 0.08
교양학부(중핵),COR1003-13,글로벌의사소통I,경쟁률,1 : 1.00,1 : 7.00,1 : 2.00,신청없음,1 : 0.71
교양학부(중핵),COR1003-15,글로벌의사소통I,경쟁률,1 : 0.35,1 : 7.00,신청없음,신청없음,1 : 0.08
교양학부(중핵),COR1003-16,글로벌의사소통I,경쟁률,1 : 0.19,1 : 1.00,신청없음,1 : 0.33,1 : 0.13
교양학부(중핵),COR1003-17,글로벌의사소통I,경쟁률,1 : 0.58,1 : 3.00,신청없음,신청없음,1 : 0.48
교양학부(중핵),COR1003-18,글로벌의사소통I,경쟁률,1 : 0.19,1 : 3.00,신청없음,신청없음,1 : 0.08
교양학부(중핵),COR1003-20,글로벌의사소통I,경쟁률,1 : 0.12,신청없음,신청없음,1 : 0.25,1 : 0.08
교양학부(중핵),COR1003-21,글로벌의사소통I,경쟁률,1 : 0.12,신청없음,신청없음,1 : 0.25,1 : 0.08
교양학부(중핵),COR1003-22,글로벌의사소통I,경쟁률,1 : 0.04,1 : 1.00,신청없음,신청없음,신청없음
교양학부(중핵),COR1003-23,글로벌의사소통I,경쟁률,1 : 0.19,1 : 1.00,1 : 1.00,1 : 0.50,1 : 0.09
교양학부(중핵),COR1003-24,글로벌의사소통I,경쟁률,1 : 0.35,1 : 3.00,신청없음,1 : 0.33,1 : 0.21
교양학부(중핵),COR1003-25,글로벌의사소통I,경쟁률,1 : 0.08,1 : 2.00,신청없음,신청없음,신청없음
교양학부(중핵),COR1003-27,글로벌의사소통I,경쟁률,1 : 0.12,1 : 1.00,1 : 1.00,1 : 0.50,신청없음
교양학부(중핵),COR1003-28,글로벌의사소통I,경쟁률,1 : 0.19,1 : 1.00,1 : 1.00,1 : 0.50,1 : 0.09
교양학부(중핵),COR1003-29,글로벌의사소통I,경쟁률,1 : 0.19,신청없음,신청없음,신청없음,1 : 0.19
교양학부(중핵),COR1003-30,글로벌의사소통I,경쟁률,1 : 0.12,1 : 3.00,신청없음,신청없음,신청없음
교양학부(중핵),COR1003-31,글로벌의사소통I,경쟁률,1 : 0.19,1 : 3.00,신청없음,1 : 0.33,1 : 0.04
교양학부(중핵),COR1003-32,글로벌의사소통I,경쟁률,1 : 0.12,신청없음,1 : 0.50,1 : 0.33,1 : 0.04
교양학부(중핵),COR1003-33,글로벌의사소통I,경쟁률,1 : 0.15,신청없음,1 : 1.00,1 : 0.50,1 : 0.04
교양학부(중핵),COR1005-01,글로벌의사소통I(고급),경쟁률,1 : 0.08,1 : 1.00,신청없음,신청없음,1 : 0.04
교양학부(중핵),COR1005-02,글로벌의사소통I(고급),경쟁률,1 : 0.04,신청없음,1 : 0.50,신청없음,신청없음
교양학부(중핵),COR1007-01,성찰과성장1,경쟁률,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
교양학부(중핵),COR1009-01,컴퓨팅사고력,경쟁률,1 : 0.03,쿼터없음,쿼터없음,쿼터없음,1 : 0.03
교양학부(중핵),COR1009-02,컴퓨팅사고력,경쟁률,1 : 0.04,쿼터없음,쿼터없음,쿼터없음,1 : 0.01
교양학부(중핵),COR1009-03,컴퓨팅사고력,경쟁률,1 : 0.01,쿼터없음,쿼터없음,쿼터없음,1 : 0.01
교양학부(중핵),COR1009-05,컴퓨팅사고력,경쟁률,1 : 0.24,쿼터없음,쿼터없음,쿼터없음,1 : 0.20
교양학부(중핵),COR1009-06,컴퓨팅사고력,경쟁률,1 : 0.27,쿼터없음,쿼터없음,쿼터없음,1 : 0.25
교양학부(중핵),COR1009-07,컴퓨팅사고력,경쟁률,1 : 0.04,쿼터없음,쿼터없음,쿼터없음,1 : 0.01
교양학부(중핵),COR1009-08,컴퓨팅사고력,경쟁률,1 : 0.04,쿼터없음,쿼터없음,쿼터없음,1 : 0.04
교양학부(중핵),COR1009-09,컴퓨팅사고력,경쟁률,1 : 0.11,1 : 0.10,쿼터없음,쿼터없음,1 : 0.12
교양학부(중핵),COR1009-10,컴퓨팅사고력,경쟁률,1 : 0.14,1 : 0.10,쿼터없음,쿼터없음,1 : 0.12
교양학부(중핵),COR1009-11,컴퓨팅사고력,경쟁률,1 : 0.11,1 : 0.10,쿼터없음,쿼터없음,1 : 0.12
교양학부(중핵),COR1011-01,컴퓨팅사고력(고급),경쟁률,1 : 0.10,1 : 0.40,쿼터없음,쿼터없음,1 : 0.03
교양학부(중핵),COR1011-02,컴퓨팅사고력(고급),경쟁률,1 : 0.09,1 : 0.30,쿼터없음,쿼터없음,1 : 0.05
컴퓨터공학전공,CSE2003-02,기초공학설계,경쟁률,1 : 0.15,쿼터없음,쿼터없음,쿼터없음,1 : 0.05
컴퓨터공학전공,CSE2003-03,기초공학설계,경쟁률,1 : 0.15,쿼터없음,쿼터없음,쿼터없음,1 : 0.03
컴퓨터공학전공,CSE2004-01,공학설계입문,경쟁률,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
컴퓨터공학전공,CSE2009-01,컴퓨터공학및정보통신개론,경쟁률,1 : 0.20,1 : 0.20,1 : 0.22,1 : 0.08,신청없음
컴퓨터공학전공,CSE2009-02,컴퓨터공학및정보통신개론,경쟁률,1 : 0.50,1 : 0.20,1 : 0.67,1 : 0.38,신청없음
컴퓨터공학전공,CSE3013-01,컴퓨터공학설계및실험I,경쟁률,1 : 1.40,1 : 1.15,쿼터없음,쿼터없음,쿼터없음
컴퓨터공학전공,CSE3013-02,컴퓨터공학설계및실험I,경쟁률,1 : 0.65,1 : 0.45,쿼터없음,쿼터없음,쿼터없음
컴퓨터공학전공,CSE3013-03,컴퓨터공학설계및실험I,경쟁률,1 : 2.25,1 : 1.85,쿼터없음,쿼터없음,쿼터없음
컴퓨터공학전공,CSE3013-04,컴퓨터공학설계및실험I,경쟁률,1 : 0.50,1 : 0.35,쿼터없음,쿼터없음,쿼터없음
컴퓨터공학전공,CSE3013-05,컴퓨터공학설계및실험I,경쟁률,1 : 1.00,1 : 0.70,쿼터없음,쿼터없음,쿼터없음
컴퓨터공학전공,CSE3016-01,컴퓨터공학실험II,경쟁률,1 : 0.35,신청없음,쿼터없음,쿼터없음,쿼터없음
컴퓨터공학전공,CSE3030-01,어셈블리프로그래밍,경쟁률,1 : 0.57,1 : 0.49,1 : 0.27,쿼터없음,쿼터없음
컴퓨터공학전공,CSE3030-02,어셈블리프로그래밍,경쟁률,1 : 0.53,1 : 0.47,1 : 0.13,쿼터없음,쿼터없음
컴퓨터공학전공,CSE3080-01,자료구조,경쟁률,1 : 0.52,1 : 0.43,1 : 0.17,쿼터없음,쿼터없음
컴퓨터공학전공,CSE3080-02,자료구조,경쟁률,1 : 0.57,1 : 0.56,1 : 0.21,쿼터없음,쿼터없음
컴퓨터공학전공,CSE4010-01,컴퓨터구조와논리I,경쟁률,1 : 0.70,쿼터없음,1 : 0.78,1 : 0.32,쿼터없음
컴퓨터공학전공,CSE4010-02,컴퓨터구조와논리I,경쟁률,1 : 0.56,쿼터없음,1 : 0.40,1 : 0.34,쿼터없음
컴퓨터공학전공,CSE4050-01,프로그래밍언어,경쟁률,1 : 0.37,쿼터없음,1 : 0.37,1 : 0.15,쿼터없음
컴퓨터공학전공,CSE4050-02,프로그래밍언어,경쟁률,1 : 0.42,쿼터없음,1 : 0.44,1 : 0.13,쿼터없음
컴퓨터공학전공,CSE4100-01,시스템프로그래밍,경쟁률,1 : 0.41,쿼터없음,1 : 0.40,1 : 0.18,쿼터없음
컴퓨터공학전공,CSE4100-02,시스템프로그래밍,경쟁률,1 : 0.45,쿼터없음,1 : 0.46,1 : 0.15,쿼터없음
컴퓨터공학전공,CSE4110-01,데이터베이스시스템,경쟁률,1 : 0.64,쿼터없음,1 : 0.26,1 : 0.49,쿼터없음
컴퓨터공학전공,CSE4115-01,소프트웨어공학,경쟁률,1 : 0.89,쿼터없음,1 : 0.77,1 : 0.84,쿼터없음
컴퓨터공학전공,CSE4116-01,임베디드시스템소프트웨어,경쟁률,1 : 0.92,쿼터없음,쿼터없음,1 : 0.83,쿼터없음
컴퓨터공학전공,CSE4120-01,기초컴파일러구성,경쟁률,1 : 0.24,쿼터없음,1 : 0.17,1 : 0.21,쿼터없음
컴퓨터공학전공,CSE4170-01,기초컴퓨터그래픽스,경쟁률,1 : 0.42,쿼터없음,1 : 0.25,1 : 0.28,쿼터없음
컴퓨터공학전공,CSE4175-01,기초컴퓨터네트워크,경쟁률,1 : 0.80,쿼터없음,1 : 2.20,1 : 0.50,쿼터없음
컴퓨터공학전공,CSE4175-02,기초컴퓨터네트워크,경쟁률,1 : 0.52,쿼터없음,1 : 0.30,1 : 0.49,쿼터없음
컴퓨터공학전공,CSE4186-01,캡스톤디자인I,경쟁률,1 : 0.18,쿼터없음,신청없음,1 : 0.18,쿼터없음
컴퓨터공학전공,CSE4186-02,캡스톤디자인I,경쟁률,1 : 0.23,쿼터없음,1 : 0.20,1 : 0.21,쿼터없음
컴퓨터공학전공,CSE4187-01,캡스톤디자인II,경쟁률,1 : 0.27,쿼터없음,신청없음,1 : 0.27,쿼터없음
컴퓨터공학전공,CSE4188-01,암호학기초,경쟁률,1 : 0.53,쿼터없음,1 : 0.67,1 : 0.42,쿼터없음
컴퓨터공학전공,CSEG312-01,데이터마이닝,경쟁률,1 : 1.50,쿼터없음,1 : 0.30,1 : 1.59,쿼터없음
컴퓨터공학전공,CSEQ981-01,컴퓨터교과교육론,경쟁률,1 : 0.20,신청없음,1 : 0.30,1 : 0.08,신청없음
융합소프트웨어연계전공,CSW1010-01,IT개론,경쟁률,1 : 0.67,쿼터없음,1 : 0.80,1 : 0.19,쿼터없음
융합소프트웨어연계전공,CSW2010-01,기초C언어,경쟁률,1 : 0.92,쿼터없음,1 : 1.10,1 : 0.33,쿼터없음
융합소프트웨어연계전공,CSW3010-01,알고리즘입문,경쟁률,1 : 1.24,1 : 0.05,1 : 0.56,1 : 1.73,신청없음
융합소프트웨어연계전공,CSW3020-01,운영체제입문,경쟁률,1 : 1.10,1 : 0.15,1 : 0.38,1 : 1.40,신청없음
융합소프트웨어연계전공,CSW3040-01,소프트웨어공학입문,경쟁률,1 : 0.31,1 : 0.05,1 : 0.13,1 : 0.30,신청없음
융합소프트웨어연계전공,CSW3050-01,언어와통계,경쟁률,1 : 0.40,1 : 0.55,1 : 0.38,1 : 0.16,신청없음
융합소프트웨어연계전공,CSW3060-01,빅데이터학,경쟁률,1 : 0.56,1 : 0.45,1 : 0.45,1 : 0.43,신청없음
융합소프트웨어연계전공,CSW3070-01,문화산업과스토리텔링,경쟁률,1 : 0.44,1 : 0.30,1 : 0.50,1 : 0.22,신청없음
경제학전공,ECO2001-01,경제학원론I,경쟁률,1 : 0.15,1 : 0.13,1 : 0.14,1 : 0.12,1 : 0.01
경제학전공,ECO2001-02,경제학원론I,경쟁률,1 : 0.69,1 : 1.47,1 : 1.20,1 : 0.20,1 : 0.19
경제학전공,ECO2001-03,경제학원론I,경쟁률,1 : 0.21,1 : 0.50,1 : 0.04,1 : 0.03,1 : 0.05
경제학전공,ECO2001-04,경제학원론I,경쟁률,1 : 0.26,1 : 0.57,1 : 0.17,1 : 0.07,1 : 0.04
경제학전공,ECO2001-05,경제학원론I,경쟁률,1 : 0.35,1 : 0.73,1 : 0.33,1 : 0.14,1 : 0.06
경제학전공,ECO2001-06,경제학원론I,경쟁률,1 : 0.27,1 : 0.53,1 : 0.25,1 : 0.07,1 : 0.04
경제학전공,ECO2001-07,경제학원론I,경쟁률,1 : 0.27,1 : 0.63,1 : 0.24,1 : 0.12,신청없음
경제학전공,ECO2001-08,경제학원론I,경쟁률,1 : 0.23,1 : 0.43,1 : 0.19,1 : 0.16,신청없음
경제학전공,ECO2001-09,경제학원론I,경쟁률,1 : 0.29,1 : 0.67,1 : 0.20,1 : 0.12,1 : 0.03
경제학전공,ECO2001-10,경제학원론I,경쟁률,1 : 0.80,1 : 1.67,1 : 1.10,1 : 0.20,1 : 0.29
경제학전공,ECO2002-01,경제학원론II,경쟁률,1 : 0.68,1 : 1.27,1 : 1.30,1 : 0.50,1 : 0.22
경제학전공,ECO2002-02,경제학원론II,경쟁률,1 : 1.18,1 : 2.20,1 : 2.90,1 : 1.60,1 : 0.14
경제학전공,ECO2002-03,경제학원론II,경쟁률,1 : 0.27,1 : 0.60,1 : 0.27,1 : 0.08,1 : 0.01
경제학전공,ECO2002-04,경제학원론II,경쟁률,1 : 0.38,1 : 0.90,1 : 0.38,1 : 0.17,1 : 0.05
경제학전공,ECO2002-05,경제학원론II,경쟁률,1 : 1.22,1 : 2.63,1 : 2.40,1 : 0.70,1 : 0.23
경제학전공,ECO2003-01,경제수리기초,경쟁률,1 : 0.67,1 : 0.93,1 : 2.08,1 : 1.20,1 : 0.04
경제학전공,ECO2003-02,경제수리기초,경쟁률,1 : 1.07,1 : 1.70,1 : 4.10,1 : 0.80,1 : 0.13
경제학전공,ECO2004-01,경제통계학,경쟁률,1 : 0.38,1 : 0.45,1 : 0.44,1 : 0.14,1 : 0.03
경제학전공,ECO2004-02,경제통계학,경쟁률,1 : 1.19,1 : 1.65,1 : 3.60,1 : 1.10,1 : 0.15
경제학전공,ECO2006-01,미시경제학I,경쟁률,1 : 0.32,1 : 0.36,1 : 0.16,1 : 0.03,1 : 0.03
경제학전공,ECO2006-02,미시경제학I,경쟁률,1 : 1.16,1 : 1.62,1 : 0.77,1 : 0.59,1 : 0.12
경제학전공,ECO2006-03,미시경제학I,경쟁률,1 : 0.64,1 : 0.64,1 : 0.54,1 : 0.19,신청없음
경제학전공,ECO2006-04,미시경제학I,경쟁률,1 : 0.48,1 : 0.38,1 : 0.33,1 : 0.16,1 : 0.02
경제학전공,ECO2006-05,미시경제학I,경쟁률,1 : 0.71,1 : 0.58,1 : 0.71,1 : 0.20,1 : 0.03
경제학전공,ECO2007-01,거시경제학I,경쟁률,1 : 1.24,1 : 1.04,1 : 1.80,1 : 1.80,신청없음
경제학전공,ECO2007-02,거시경제학I,경쟁률,1 : 0.23,1 : 0.12,1 : 0.14,1 : 0.09,신청없음
경제학전공,ECO2007-03,거시경제학I,경쟁률,1 : 0.73,1 : 0.56,1 : 0.65,1 : 0.39,신청없음
경제학전공,ECO2008-01,수리경제학,경쟁률,1 : 0.57,1 : 0.23,1 : 0.40,1 : 0.40,쿼터없음
경제학전공,ECO2009-01,계량경제학I,경쟁률,1 : 1.00,1 : 0.60,1 : 0.74,1 : 0.95,쿼터없음
경제학전공,ECO2009-02,계량경제학I,경쟁률,1 : 1.15,1 : 0.70,1 : 0.98,1 : 1.48,쿼터없음
경제학전공,ECO2009-03,계량경제학I,경쟁률,1 : 0.81,1 : 0.53,1 : 0.78,1 : 0.55,쿼터없음
경제학전공,ECO3002-01,노동경제학,경쟁률,1 : 1.15,1 : 0.30,1 : 0.80,1 : 1.36,쿼터없음
경제학전공,ECO3008-01,금융경제학,경쟁률,1 : 0.62,1 : 0.17,1 : 0.45,1 : 0.42,쿼터없음
경제학전공,ECO3009-01,공공경제학,경쟁률,1 : 0.78,1 : 0.17,1 : 0.63,1 : 0.59,쿼터없음
경제학전공,ECO3010-01,국제무역론,경쟁률,1 : 1.31,1 : 0.53,1 : 1.33,1 : 1.43,쿼터없음
경제학전공,ECO3011-01,국제금융론,경쟁률,1 : 1.83,1 : 0.37,1 : 1.71,1 : 2.37,쿼터없음
경제학전공,ECO3012-01,개발경제학,경쟁률,1 : 0.13,1 : 0.03,1 : 0.03,1 : 0.10,쿼터없음
경제학전공,ECO3017-01,국제경제학,경쟁률,1 : 0.93,1 : 0.23,1 : 0.83,1 : 0.83,쿼터없음
경제학전공,ECO3019-01,인구경제학,경쟁률,1 : 0.99,1 : 0.10,1 : 0.52,1 : 0.98,쿼터없음
경제학전공,ECO3021-01,경제성장론,경쟁률,1 : 1.01,1 : 0.07,1 : 0.85,1 : 1.03,쿼터없음
경제학전공,ECO4001-01,미시경제학II,경쟁률,1 : 0.31,1 : 0.20,1 : 0.14,1 : 0.22,쿼터없음
경제학전공,ECO4002-01,거시경제학II,경쟁률,1 : 0.29,1 : 0.10,1 : 0.26,1 : 0.14,쿼터없음
경제학전공,ECO4006-01,정보경제학,경쟁률,1 : 0.70,1 : 0.50,1 : 0.50,1 : 0.54,쿼터없음
경제학전공,ECO4009-01,파생상품시장,경쟁률,1 : 0.97,1 : 0.05,1 : 0.56,1 : 0.95,쿼터없음
경제학전공,ECO4010-01,국제금융시장,경쟁률,1 : 0.67,신청없음,1 : 0.45,1 : 0.55,쿼터없음
경제학전공,ECO4014-01,한국경제론,경쟁률,1 : 0.44,1 : 0.10,1 : 0.26,1 : 0.33,쿼터없음
경제학전공,ECO4033-01,거시경제지표분석(캡스톤디자인),경쟁률,1 : 0.26,1 : 0.05,1 : 0.14,1 : 0.19,쿼터없음
경제학전공,ECO4034-01,금융시장행태주의(behavioral)분석(캡스톤디자인),경쟁률,1 : 0.12,신청없음,1 : 0.05,1 : 0.09,쿼터없음
경제학전공,ECOG010-01,고급미시경제학I,경쟁률,1 : 0.04,쿼터없음,1 : 0.10,신청없음,쿼터없음
경제학전공,ECOG020-01,고급거시경제학I,경쟁률,1 : 0.08,쿼터없음,1 : 0.10,1 : 0.04,쿼터없음
경제학전공,ECOG030-01,고급계량경제학I,경쟁률,1 : 0.20,쿼터없음,1 : 0.10,1 : 0.13,쿼터없음
교육문화연계전공,EDU2001-01,교육학개론,경쟁률,1 : 0.51,1 : 0.35,1 : 0.42,1 : 0.38,신청없음
교육문화연계전공,EDU2002-01,교육철학및교육사,경쟁률,1 : 0.38,1 : 0.60,1 : 0.43,1 : 0.03,신청없음
교육문화연계전공,EDU2003-01,교육심리,경쟁률,1 : 0.38,1 : 0.20,1 : 0.36,1 : 0.24,신청없음
교육문화연계전공,EDU2004-01,교육방법및교육공학,경쟁률,1 : 0.16,1 : 0.30,1 : 0.19,1 : 0.02,신청없음
교육문화연계전공,EDU3001-01,교육과정,경쟁률,1 : 0.45,1 : 0.10,1 : 0.55,1 : 0.24,신청없음
교육문화연계전공,EDU3002-01,교육행정및교육경영,경쟁률,1 : 0.33,1 : 0.30,1 : 0.30,1 : 0.18,신청없음
교육문화연계전공,EDU3033-01,교육사회,경쟁률,1 : 0.82,1 : 1.20,1 : 0.45,1 : 0.74,1 : 0.08
교육문화연계전공,EDU3034-01,학교현장실습,경쟁률,1 : 0.20,쿼터없음,신청없음,1 : 0.20,쿼터없음
교육문화연계전공,EDU3035-01,교육봉사활동,경쟁률,1 : 0.07,쿼터없음,신청없음,1 : 0.07,쿼터없음
교육문화연계전공,EDU3037-01,생활지도및상담,경쟁률,1 : 0.33,1 : 0.20,1 : 0.29,1 : 0.20,신청없음
교육문화연계전공,EDU3045-01,특수교육학개론,경쟁률,1 : 0.45,1 : 0.20,1 : 0.32,1 : 0.36,신청없음
교육문화연계전공,EDU3047-01,교육평가,경쟁률,1 : 0.46,신청없음,1 : 0.23,1 : 0.42,신청없음
교육문화연계전공,EDUF982-01,외국어교과논리및논술,경쟁률,1 : 0.47,신청없음,1 : 0.30,1 : 0.33,쿼터없음
교육문화연계전공,EDUS981-01,과학교과교육론,경쟁률,1 : 0.10,신청없음,1 : 0.08,1 : 0.09,신청없음
전자공학전공,EEE2012-01,전자공학세미나II,경쟁률,1 : 0.25,쿼터없음,1 : 0.28,1 : 0.10,쿼터없음
전자공학전공,EEE2051-01,기초전자공학실험,경쟁률,1 : 0.75,1 : 0.71,1 : 0.33,신청없음,쿼터없음
전자공학전공,EEE2051-02,기초전자공학실험,경쟁률,1 : 1.18,1 : 1.21,1 : 1.50,1 : 0.50,쿼터없음
전자공학전공,EEE2051-03,기초전자공학실험,경쟁률,1 : 0.89,1 : 0.96,신청없음,1 : 0.20,쿼터없음
전자공학전공,EEE2051-04,기초전자공학실험,경쟁률,1 : 0.54,1 : 0.54,1 : 0.15,신청없음,쿼터없음
전자공학전공,EEE2051-05,기초전자공학실험,경쟁률,1 : 0.36,1 : 0.42,신청없음,신청없음,쿼터없음
전자공학전공,EEE2101-01,전자장론I,경쟁률,1 : 0.61,1 : 0.83,1 : 0.24,1 : 0.04,신청없음
전자공학전공,EEE2101-02,전자장론I,경쟁률,1 : 0.71,1 : 0.83,1 : 0.59,1 : 0.06,신청없음
전자공학전공,EEE2101-03,전자장론I,경쟁률,1 : 0.37,1 : 0.38,1 : 0.14,1 : 0.05,1 : 0.03
전자공학전공,EEE2103-01,고급공학수학I,경쟁률,1 : 0.52,1 : 0.53,1 : 0.15,1 : 0.03,1 : 0.03
전자공학전공,EEE2103-02,고급공학수학I,경쟁률,1 : 0.80,1 : 0.87,1 : 0.46,1 : 0.08,1 : 0.06
전자공학전공,EEE2112-01,회로이론,경쟁률,1 : 0.75,1 : 0.63,1 : 0.55,1 : 0.21,신청없음
전자공학전공,EEE2112-02,회로이론,경쟁률,1 : 0.62,1 : 0.63,1 : 0.20,1 : 0.14,신청없음
전자공학전공,EEE2112-03,회로이론,경쟁률,1 : 0.85,1 : 0.83,1 : 0.67,1 : 0.22,1 : 0.11
전자공학전공,EEE2135-01,디지털회로설계,경쟁률,1 : 0.56,1 : 0.65,1 : 0.23,1 : 0.03,1 : 0.03
전자공학전공,EEE2135-02,디지털회로설계,경쟁률,1 : 0.71,1 : 0.72,1 : 0.59,신청없음,1 : 0.04
전자공학전공,EEE3121-01,물리전자공학II,경쟁률,1 : 0.39,신청없음,1 : 0.39,1 : 0.09,신청없음
전자공학전공,EEE3131-01,전자회로I,경쟁률,1 : 0.30,신청없음,1 : 0.31,1 : 0.08,신청없음
전자공학전공,EEE3131-02,전자회로I,경쟁률,1 : 0.36,1 : 0.20,1 : 0.43,1 : 0.03,신청없음
전자공학전공,EEE3141-01,자동제어개론,경쟁률,1 : 0.38,신청없음,1 : 0.46,1 : 0.11,신청없음
전자공학전공,EEE3141-02,자동제어개론,경쟁률,1 : 0.22,신청없음,1 : 0.22,1 : 0.08,신청없음
전자공학전공,EEE3148-01,통신공학개론,경쟁률,1 : 0.37,신청없음,1 : 0.43,1 : 0.06,신청없음
전자공학전공,EEE3148-02,통신공학개론,경쟁률,1 : 0.41,1 : 0.20,1 : 0.46,1 : 0.09,신청없음
전자공학전공,EEE3154-01,랜덤프로세스,경쟁률,1 : 0.42,1 : 0.20,1 : 0.41,1 : 0.13,신청없음
전자공학전공,EEE3181-01,전자회로실험,경쟁률,1 : 0.85,쿼터없음,1 : 0.82,1 : 0.50,쿼터없음
전자공학전공,EEE3181-02,전자회로실험,경쟁률,1 : 0.42,쿼터없음,1 : 0.45,1 : 0.06,쿼터없음
전자공학전공,EEE3181-03,전자회로실험,경쟁률,1 : 0.85,쿼터없음,1 : 0.95,신청없음,쿼터없음
전자공학전공,EEE3181-04,전자회로실험,경쟁률,1 : 0.77,쿼터없음,1 : 0.91,신청없음,쿼터없음
